SensorID,SensorLocation,Pollutant_PM2.5_µg/m³,Pollutant_PM10_µg/m³,Pollutant_O3_ppb,Pollutant_NO2_ppb,Pollutant_CO_ppm,Pollutant_SO2_ppb,UrbanVegetationArea_m2,Humidity_%,AirTemperature_C,EnergySavingTechnology,AnnualEnergySavings_%,PopulationDensity_people/km²,RetrofitData,RenewableEnergyPercentage_%,AnnualEnergyConsumption_kWh,GreenSpaceIndex_%,HistoricPollutantLevels,Country,AQI_Index,Cluster_KProto,Cluster_KMeans,Cluster_KMedoids,Cluster_Agglomerative
S000001,0.0,-0.5630017492380915,-0.6216357230884995,1.6221235370907752,-0.0421518920314593,0.6227009689220568,-0.3603174691488784,-1.05250913924834,-1.0800172955375498,1.1492123012654154,4.0,-1.7848994759439532,0.3006965941027568,1.0,-1.677142487317172,1.5089949866525676,-0.1230184258589007,-0.1319795003467684,13.0,87.92,3,3,0,0
S000002,0.0,-0.5925490535143598,-1.5126393517968928,-1.0544655209450966,1.359556009792896,-1.2858952803423147,-0.5938767691891921,-0.9584501245494436,0.2185661408486441,-1.4806614192121077,5.0,1.0833885795613885,-0.2945038168095621,1.0,1.4097533237925468,-0.521695834130273,-1.6799379334434854,0.0947011320464863,31.0,51.54,2,0,2,2
S000003,1.0,-0.4735592936825894,-0.6336712035045746,-1.2609533123186336,-0.3023155231647703,0.1106908848181639,-1.29724414003787,2.198082968473628,1.3242512719829838,-1.6671882188473834,0.0,-0.6557544043196782,-1.7621013131748652e-16,1.0,-0.2357820241741279,1.6941083945312585,0.973057944017671,1.6098749131381127,13.0,64.06,2,0,2,2
S000004,0.0,-0.4516535336157009,-0.3344015264221324,-1.2706624156855688,1.5398384133387963,-0.9297765346946352,-0.5181469355397571,1.8408903706182132e-16,-1.4863632100371604,0.1017332900904581,2.0,0.8216518867136162,0.238736914859456,1.0,-0.6355650154371814,-1.6546922333726248,-1.0623325808593862,0.943264916594968,6.0,77.47,3,3,0,0
S000005,0.0,-0.6887597339410265,1.42324070955897,-0.3851771357476558,-0.3812196103535586,0.5554817679363504,0.0314251750096476,-0.98504654058438,-1.1827638155170597,-0.5935029630955693,3.0,-0.5876163396526962,0.0772232594361123,1.0,-0.774061265981882,-0.86347042690798,1.534002255080293,-1.1501729578834832,26.0,106.47,1,2,3,0
S000006,1.0,-0.911092282128218,0.022041933718872,-0.0889742186889513,-1.2284003359594953,-1.4839773938853014,-0.2792086940439695,1.8408903706182132e-16,-0.6889176388413507,-0.4324116361378312,4.0,0.0732147319588285,-1.120237633406743,0.0,1.032815074887382,0.8543598608311787,-0.4094714691063678,0.6305924254868622,29.0,69.28,2,0,2,2
S000007,2.0,-0.6375249994324232,-0.0211219620141719,-0.3050205846950526,1.2584219785354398,1.4994109732675496,-1.2963240579468025,0.0398141684440484,-0.9335206444699904,1.4852688493686397,4.0,-1.2733232126505796,-0.7855856172611247,0.0,-1.283784579842275,-0.5827822119002645,0.3995222903947205,1.3602077291399224,11.0,87.17,3,3,0,0
S000008,2.0,-0.1593826617598053,-0.5541068059197704,1.001568829645973,-1.3268472311207389,1.1747565344642432,1.0523624183676852,1.8408903706182132e-16,-0.612686349824295,0.57652878007116,0.0,0.5285500529873915,-0.743922673469757,0.0,-0.4021203044675056,-0.0069772319510062,-0.7028497507620154,-1.4071792216109609,28.0,92.86,3,3,0,0
S000009,0.0,1.179706990169597,-0.3563510500430724,0.9889620481423947,1.7782606706027506,-1.4639546531661547,-0.4183534164316231,-0.8487409204455144,1.6192332164402858,-1.25097139321495,0.0,-1.2192453835498,0.2583516676005185,0.0,-0.7890531281542466,-1.5170964394211135,-0.8149126995489366,-0.0486186324782657,21.0,140.27,1,2,1,1
S000010,0.0,0.0997020752439267,1.2670735247535267,-1.5222335630032462,1.7692221219154898,0.3152088793065906,-1.3568371493208833,-1.1264406987682862,0.7535109255161574,0.2150367592903984,0.0,-1.603197970165334,-0.5291446183667128,1.0,-1.530079458388263,0.902703392820721,-0.6883697068176379,-0.8055131570118822,11.0,122.61,1,2,3,0
