year,pm10_concentration,pm25_concentration,no2_concentration,pm10_tempcov,pm25_tempcov,no2_tempcov,number_of_stations,population,latitude,longitude,who_ms,who_region,iso3,type_of_stations,Air_quality_category
2010,39.903,17.912924000000004,40.815,93.0,61.204,99.0,1,495901,37.1859603333333,-3.608474,1,0.9999417453104975,1.0,0.9938192326216087,1
2010,21.166,6.707,7.536,99.0,93.604,97.0,1,21101,28.9903109999999,-13.51655,1,0.9999417453104975,1.0,0.9938192326216087,1
2010,93.986,38.193936,69.27435599999998,62.652,53.436,35.192,1,9134708,35.7111151845831,51.4213317067999,1,0.957295373665664,0.9923664822352175,0.9938192326216087,1
2010,64.097,37.167284,24.051135999999982,93.0,87.232,92.58,1,152628,41.65889,26.5852779999999,1,0.9999417453104975,1.0,0.9938192326216087,1
2010,14.213,9.488,27.358,85.752,94.0,99.0,1,536775,55.9624772499999,-3.31434775,1,0.9999417453104975,1.0,0.9938192326216087,1
2010,14.897,11.059176000000003,7.948,98.0,96.796,99.0,1,6548,51.154842,9.031753,1,0.9999417453104975,0.9995267392333176,0.9938192326216087,1
2010,36.18,22.924,49.087,85.0,93.0,98.0,1,35995,45.1583639999999,5.70376399999999,1,0.9999417453104975,1.0,0.9938192326216087,1
2010,36.64495600000003,18.525768000000006,18.476,91.692,85.448,75.0,1,9289,40.657845,22.8023659999999,1,0.9999417453104975,0.9999972667412914,0.9938192326216087,1
2010,19.997,14.964251999999998,24.739,100.0,96.916,95.0,1,15611,49.0765499999999,8.40666,1,0.9999417453104975,0.9995267392333176,0.9938192326216087,1
2010,71.178,22.021,28.72,87.0,79.0,1.0,1,1655015,19.5294815,-99.056362,1,1.0,0.999999999983191,0.9938192326216087,1
2010,31.396,22.407,27.621,100.0,100.0,98.0,1,39166,52.8324659999999,13.8222109999999,1,0.9999417453104975,0.9995267392333176,0.9938192326216087,1
2010,25.507,18.423840000000013,19.607,99.0,96.392,95.0,1,7698,46.6083339999999,14.398611,1,0.9999417453104975,1.0,0.9938192326216087,1
2010,22.090923999999983,9.097211999999997,21.800632,73.14,87.24,0.984,1,1714062,44.76249,-91.41445,1,1.0,1.0,0.9938192326216087,1
2010,20.309912000000004,13.414,22.501300000000004,93.464,94.0,95.18,1,91613,50.805779,0.271610999999999,1,0.9999417453104975,1.0,0.9938192326216087,1
2010,32.173,22.739,21.529,79.0,88.0,95.0,1,49640,50.645279,13.851251,1,0.9999417453104975,1.0,0.9938192326216087,1
