SensorID,SensorID,SensorLocation,Pollutant_PM2.5_µg/m³,Pollutant_PM10_µg/m³,Pollutant_O3_ppb,Pollutant_NO2_ppb,Pollutant_CO_ppm,Pollutant_SO2_ppb,UrbanVegetationArea_m2,Humidity_%,AirTemperature_C,EnergySavingTechnology,AnnualEnergySavings_%,PopulationDensity_people/km²,RetrofitData,RenewableEnergyPercentage_%,AnnualEnergyConsumption_kWh,GreenSpaceIndex_%,HistoricPollutantLevels,Country,AQI_Index,Cluster_KProto,Cluster_KMeans,Cluster_KMedoids,Cluster_Agglomerative
S000001,S000001,0.0,-0.5630017492380915,-0.6216357230884995,1.6221235370907752,-0.04215189203145938,0.6227009689220568,-0.36031746914887847,-1.05250913924834,-1.0800172955375498,1.1492123012654154,4.0,-1.7848994759439532,0.3006965941027568,1.0,-1.677142487317172,1.5089949866525676,-0.1230184258589007,-0.13197950034676847,13.0,87.92,3,3,0,0
S000002,S000002,0.0,-0.5925490535143598,-1.5126393517968928,-1.0544655209450966,1.359556009792896,-1.2858952803423147,-0.5938767691891921,-0.9584501245494437,0.21856614084864415,-1.4806614192121077,5.0,1.0833885795613885,-0.29450381680956217,1.0,1.4097533237925468,-0.521695834130273,-1.6799379334434854,0.0947011320464863,31.0,51.54,2,0,2,2
S000003,S000003,1.0,-0.4735592936825894,-0.6336712035045746,-1.2609533123186336,-0.30231552316477034,0.1106908848181639,-1.29724414003787,2.198082968473628,1.3242512719829838,-1.6671882188473834,0.0,-0.6557544043196782,-1.762101313174865e-16,1.0,-0.2357820241741279,1.6941083945312583,0.973057944017671,1.6098749131381127,13.0,64.06,2,0,2,2
S000004,S000004,0.0,-0.45165353361570093,-0.33440152642213244,-1.2706624156855688,1.5398384133387963,-0.9297765346946352,-0.5181469355397571,1.8408903706182134e-16,-1.4863632100371604,0.10173329009045817,2.0,0.8216518867136162,0.23873691485945608,1.0,-0.6355650154371814,-1.6546922333726248,-1.0623325808593862,0.9432649165949681,6.0,77.47,3,3,0,0
S000005,S000005,0.0,-0.6887597339410265,1.42324070955897,-0.3851771357476558,-0.38121961035355867,0.5554817679363504,0.03142517500964762,-0.9850465405843801,-1.1827638155170597,-0.5935029630955693,3.0,-0.5876163396526962,0.07722325943611237,1.0,-0.774061265981882,-0.86347042690798,1.534002255080293,-1.1501729578834832,26.0,106.47,1,2,3,0
S000006,S000006,1.0,-0.911092282128218,0.02204193371887208,-0.08897421868895135,-1.2284003359594953,-1.4839773938853014,-0.27920869404396953,1.8408903706182134e-16,-0.6889176388413507,-0.4324116361378312,4.0,0.0732147319588285,-1.120237633406743,0.0,1.0328150748873821,0.8543598608311787,-0.4094714691063678,0.6305924254868622,29.0,69.28,2,0,2,2
S000007,S000007,2.0,-0.6375249994324232,-0.02112196201417199,-0.30502058469505267,1.2584219785354398,1.4994109732675496,-1.2963240579468023,0.03981416844404845,-0.9335206444699904,1.4852688493686395,4.0,-1.2733232126505796,-0.7855856172611247,0.0,-1.283784579842275,-0.5827822119002645,0.39952229039472054,1.3602077291399224,11.0,87.17,3,3,0,0
S000008,S000008,2.0,-0.15938266175980534,-0.5541068059197704,1.001568829645973,-1.3268472311207389,1.1747565344642432,1.0523624183676852,1.8408903706182134e-16,-0.612686349824295,0.57652878007116,0.0,0.5285500529873915,-0.743922673469757,0.0,-0.40212030446750563,-0.0069772319510062065,-0.7028497507620154,-1.4071792216109607,28.0,92.86,3,3,0,0
S000009,S000009,0.0,1.1797069901695967,-0.35635105004307244,0.9889620481423949,1.7782606706027506,-1.4639546531661547,-0.4183534164316231,-0.8487409204455144,1.6192332164402858,-1.25097139321495,0.0,-1.2192453835498,0.25835166760051853,0.0,-0.7890531281542466,-1.5170964394211135,-0.8149126995489366,-0.04861863247826577,21.0,140.27,1,2,1,1
S000010,S000010,0.0,0.09970207524392674,1.2670735247535267,-1.5222335630032462,1.7692221219154898,0.31520887930659064,-1.3568371493208833,-1.1264406987682862,0.7535109255161574,0.2150367592903984,0.0,-1.603197970165334,-0.5291446183667128,1.0,-1.5300794583882633,0.902703392820721,-0.6883697068176379,-0.8055131570118822,11.0,122.61,1,2,3,0
S000011,S000011,1.0,-0.3272783045316059,-1.5831088750009632,-0.9862007399078091,-0.5640670074458435,0.1364344085999241,-0.35111664823819927,1.5791070474705995,-1.4333327481122518,-1.1669572561891441,0.0,-0.9099202010933416,-1.042739598080538,0.0,-0.8925683669634299,-0.8959329323712634,-1.3399716843146234,-1.1138929788443672,12.0,52.49,2,0,2,2
S000012,S000012,0.0,-1.1692309231822173,-0.8904911320339834,-0.34265276828782415,-0.8478041506959287,-0.48284035792796887,1.8025832003153595,-1.0009396196335674,-1.3173286126515147,1.4236070974230937,2.0,0.23544821926116682,0.08016818477850812,0.0,-0.8854293849765897,0.10090706413730204,-0.7702134334597713,-1.0213928796148657,26.0,48.69,2,0,2,2
S000013,S000013,0.0,-0.9817583719121011,1.6437861622095624,1.1251905527482278,-0.22023572968045815,1.3327931665689365,-0.003962597723733237,-0.9047188871016945,-1.2921391432371836,1.6872110869903012,1.0,-1.5047763212019156,-1.762101313174865e-16,1.0,-1.7278292594237379,-1.6855575533937799,-0.7015906165059825,-1.5896869024260551,24.0,116.36,1,2,3,0
